xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
libpipeline-1.2.3-3,  libpipeline,  1.2.3-3
libXrandr-1.5.1-2,  libXrandr,  1.5.1-2
krb5-workstation-1.15.1-19,  krb5-workstation,  1.15.1-19
libutempter-1.1.6-4,  libutempter,  1.1.6-4
libXvMC-1.0.10-1,  libXvMC,  1.0.10-1
VRTSpddea-9.3.0.0-0014,  VRTSpddea-9,  3.0.0-0014
xorg-x11-xkb-utils-7.7-12,  xorg-x11-xkb-utils,  7.7-12
VRTSnbjava-7.7.3.0-1463709500,  VRTSnbjava-7,  7.3.0-1463709500
mesa-libGL-17.2.3-8.20171019,  mesa-libGL,  17.2.3-8.20171019
libgcc-4.8.5-28.el7_5.1,  libgcc,  4.8.5-28.el7_5.1
iputils-20160308-10,  iputils-20160308-10, ???
xorg-x11-drv-ati-7.10.0-1,  xorg-x11-drv-ati,  7.10.0-1
nss-util-3.36.0-1.el7_5,  nss-util,  3.36.0-1.el7_5
xorg-x11-drv-synaptics-1.9.0-1,  xorg-x11-drv-synaptics,  1.9.0-1
libstdc++-4.8.5-28.el7_5.1,  libstdc++,  4.8.5-28.el7_5.1
xorg-x11-drv-v4l-0.2.0-47,  xorg-x11-drv-v4l,  0.2.0-47
libattr-2.4.46-13,  libattr,  2.4.46-13
usermode-1.111-5,  usermode,  1.111-5
xorg-x11-xauth-1.0.9-1,  xorg-x11-xauth,  1.0.9-1
kmod-libs-20-21,  kmod-libs-20-21, ???
libXpm-3.5.12-1,  libXpm,  3.5.12-1
libref_array-0.1.5-29,  libref_array,  0.1.5-29
libinput-1.8.4-2,  libinput,  1.8.4-2
acl-2.2.51-14,  acl,  2.2.51-14
xorg-x11-utils-7.5-22,  xorg-x11-utils,  7.5-22
libdb-utils-5.3.21-24,  libdb-utils,  5.3.21-24
xorg-x11-drivers-7.7-6,  xorg-x11-drivers,  7.7-6
xorg-x11-drv-mouse-1.9.2-1,  xorg-x11-drv-mouse,  1.9.2-1
fxload-2002_04_11-16,  fxload-2002_04_11-16, ???
xorg-x11-server-Xephyr-1.19.5-5,  xorg-x11-server-Xephyr,  1.19.5-5
alsa-tools-firmware-1.1.0-1,  alsa-tools-firmware,  1.1.0-1
xorg-x11-fonts-ISO8859-9-100dpi-7.5-9,  xorg-x11-fonts-ISO8859-9-100dpi,  7.5-9
basesystem-10.0-7,  basesystem,  10.0-7
lsscsi-0.27-6,  lsscsi,  0.27-6
xorg-x11-fonts-ISO8859-14-75dpi-7.5-9,  xorg-x11-fonts-ISO8859-14-75dpi,  7.5-9
xorg-x11-fonts-ISO8859-15-75dpi-7.5-9,  xorg-x11-fonts-ISO8859-15-75dpi,  7.5-9
python-ethtool-0.8-5,  python-ethtool,  0.8-5
xorg-x11-fonts-cyrillic-7.5-9,  xorg-x11-fonts-cyrillic,  7.5-9
xorg-x11-fonts-ISO8859-1-75dpi-7.5-9,  xorg-x11-fonts-ISO8859-1-75dpi,  7.5-9
xorg-x11-fonts-misc-7.5-9,  xorg-x11-fonts-misc,  7.5-9
libdnet-1.12-13.1,  libdnet,  1.12-13.1
xorg-x11-fonts-ISO8859-1-100dpi-7.5-9,  xorg-x11-fonts-ISO8859-1-100dpi,  7.5-9
zip-3.0-11,  zip,  3.0-11
xorg-x11-xbitmaps-1.1.1-6,  xorg-x11-xbitmaps,  1.1.1-6
libxml2-2.9.1-6.el7_2.3,  libxml2,  2.9.1-6.el7_2.3
xdg-utils-1.1.0-0.17.20120809git,  xdg-utils,  1.1.0-0.17.20120809git
atk-2.22.0-3,  atk,  2.22.0-3
sed-4.2.2-5,  sed,  4.2.2-5
libXcomposite-0.4.4-4.1,  libXcomposite,  0.4.4-4.1
kbd-1.15.5-13,  kbd,  1.15.5-13
mesa-libEGL-17.2.3-8.20171019,  mesa-libEGL,  17.2.3-8.20171019
popt-1.13-16,  popt,  1.13-16
Red_Hat_Enterprise_Linux-Release_Notes-7-en-US-7-2,  Red_Hat_Enterprise_Linux-Release_Notes-7-en-US-7-2, ???
cairo-gobject-1.14.8-2,  cairo-gobject,  1.14.8-2
json-glib-1.2.6-1,  json-glib,  1.2.6-1
grep-2.20-3,  grep,  2.20-3
mesa-libwayland-egl-17.2.3-8.20171019,  mesa-libwayland-egl,  17.2.3-8.20171019
which-2.20-7,  which,  2.20-7
lcms2-2.6-3,  lcms2,  2.6-3
libquadmath-4.8.5-28.el7_5.1,  libquadmath,  4.8.5-28.el7_5.1
libgpg-error-1.12-3,  libgpg-error,  1.12-3
openjpeg-libs-1.5.1-17,  openjpeg-libs,  1.5.1-17
libsecret-0.18.5-2,  libsecret,  0.18.5-2
libcap-2.22-9,  libcap,  2.22-9
libibverbs-15-7.el7_5,  libibverbs-15-7.el7_5, ???
authconfig-6.2.8-30,  authconfig,  6.2.8-30
libibumad-15-7.el7_5,  libibumad-15-7.el7_5, ???
libnl3-3.2.28-4,  libnl3,  3.2.28-4
postfix-2.10.1-6,  postfix,  2.10.1-6
libgfortran-4.8.5-28.el7_5.1,  libgfortran,  4.8.5-28.el7_5.1
expat-2.1.0-10.el7_3,  expat,  2.1.0-10.el7_3
aic94xx-firmware-30-6,  aic94xx-firmware-30-6, ???
libwebp-0.3.0-7,  libwebp,  0.3.0-7
libxslt-1.1.28-5,  libxslt,  1.1.28-5
hicolor-icon-theme-0.12-7,  hicolor-icon-theme,  0.12-7
diffutils-3.3-4,  diffutils,  3.3-4
hyphen-2.8.6-5,  hyphen,  2.8.6-5
sqlite-3.7.17-8,  sqlite,  3.7.17-8
compat-glibc-2.12-4,  compat-glibc,  2.12-4
file-5.11-33,  file,  5.11-33
btrfs-progs-4.9.1-1,  btrfs-progs,  4.9.1-1
glibc-headers-2.17-222,  glibc-headers,  2.17-222
libtool-ltdl-2.4.2-22.el7_3,  libtool-ltdl,  2.4.2-22.el7_3
libgusb-0.2.9-1,  libgusb,  0.2.9-1
flac-libs-1.3.0-5.el7_1,  flac-libs,  1.3.0-5.el7_1
libnl3-cli-3.2.28-4,  libnl3-cli,  3.2.28-4
cpp-4.8.5-28.el7_5.1,  cpp,  4.8.5-28.el7_5.1
libassuan-2.1.0-3,  libassuan,  2.1.0-3
libquadmath-devel-4.8.5-28.el7_5.1,  libquadmath-devel,  4.8.5-28.el7_5.1
jasper-libs-1.900.1-31,  jasper-libs,  1.900.1-31
groff-base-1.22.2-8,  groff-base,  1.22.2-8
rootfiles-8.1-11,  rootfiles,  8.1-11
hunspell-en-US-0.20121024-6,  hunspell-en-US,  0.20121024-6
abattis-cantarell-fonts-0.0.25-1,  abattis-cantarell-fonts,  0.0.25-1
libunistring-0.9.3-9,  libunistring,  0.9.3-9
libtiff-4.0.3-27.el7_3,  libtiff,  4.0.3-27.el7_3
sysvinit-tools-2.88-14.dsf,  sysvinit-tools,  2.88-14.dsf
gtk-update-icon-cache-3.22.26-4.el7_5,  gtk-update-icon-cache,  3.22.26-4.el7_5
hostname-3.13-3,  hostname,  3.13-3
compat-libcogl12-1.14.0-3,  compat-libcogl12,  1.14.0-3
slang-2.2.4-11,  slang,  2.2.4-11
opus-1.0.2-6,  opus,  1.0.2-6
tcp_wrappers-libs-7.6-77,  tcp_wrappers-libs,  7.6-77
iptraf-ng-1.1.4-6,  iptraf-ng,  1.1.4-6
libthai-0.1.14-9,  libthai,  0.1.14-9
gdbm-1.10-8,  gdbm,  1.10-8
autogen-libopts-5.18-5,  autogen-libopts,  5.18-5
infinipath-psm-3.3-26_g604758e_open.2,  infinipath-psm,  3.3-26_g604758e_open.2
libnetfilter_conntrack-1.0.6-1.el7_3,  libnetfilter_conntrack,  1.0.6-1.el7_3
graphite2-1.3.10-1.el7_3,  graphite2,  1.3.10-1.el7_3
pango-1.40.4-1,  pango,  1.40.4-1
